number,value,datetime_start,datetime_complete,duration,params_attention_heads,params_colonization_expert_weight,params_colonization_threshold,params_colonization_weight,params_coord_embed_base,params_decline_expert_weight,params_decline_threshold,params_decline_weight,params_dropout_rate,params_hidden_dim_1_base,params_hidden_dim_2_base,params_hidden_dim_3_base,params_jump_expert_weight,params_jump_threshold,params_jump_weight,params_learning_rate,params_pde_expert_weight,params_pde_weight,params_weight_decay,state
23,493.0496581469291,2025-04-12 20:25:01.302980,2025-04-13 00:08:14.749514,0 days 03:43:13.446534,7,0.6776560386490043,0.11756836294969025,5.451798712798487,2,0.839642614425838,42.75800464842034,4.082643943639809,0.11549007998447319,21,6,3,0.5680056997187877,84.72528082300295,6.0267225770136115,0.0006297837941120718,0.6409727260840631,8.786235180507717,8.787440510411085e-07,COMPLETE
24,895.2103790468683,2025-04-12 20:25:01.316797,2025-04-13 00:12:06.672390,0 days 03:47:05.355593,6,0.7749681922947965,0.07335232846260822,4.663134133398969,4,0.8867868027168015,94.89050868323766,6.058493185552349,0.24207740371623904,28,11,4,0.6670156546721293,136.37869757429138,8.721133682228713,5.2781919250286996e-05,0.5570836496082222,4.818615839338889,4.511687286114974e-06,COMPLETE
25,647.3047254566003,2025-04-12 20:25:01.330615,2025-04-13 00:16:19.934105,0 days 03:51:18.603490,5,0.8929196214807845,0.11617241778806746,7.530348858621305,4,0.7761719527508908,78.01987361519173,1.6052198921794223,0.20381394418650706,13,8,5,0.7942199493824375,174.6705046372748,8.828098767694765,0.00018455310862724113,0.6409727260840631,7.209013810147226,8.787440510411085e-07,COMPLETE
26,676.4535730250643,2025-04-12 20:25:01.345071,2025-04-13 00:20:11.712071,0 days 03:55:10.367000,5,0.8929196214807845,0.11617241778806746,7.530348858621305,4,0.7761719527508908,78.01987361519173,1.6052198921794223,0.20381394418650706,13,8,5,0.7942199493824375,174.6705046372748,8.828098767694765,0.00018455310862724113,0.6409727260840631,7.209013810147226,8.787440510411085e-07,COMPLETE
27,493.80128182279174,2025-04-12 20:25:01.359159,2025-04-13 00:31:26.310501,0 days 04:06:24.951342,8,0.7015784755316583,0.07335232846260822,8.891254675363855,2,0.5273081880110044,58.84633264633351,4.534553672677616,0.30989556908201255,28,6,2,0.5423408682778559,106.9406365130335,7.726547685746881,0.0006297837941120718,0.5140637646050208,5.8354191749275035,4.1865220743249695e-07,COMPLETE
28,605.4623728632588,2025-04-12 20:25:01.373487,2025-04-13 00:36:21.490752,0 days 04:11:20.117265,3,0.7496334108689462,0.07335232846260822,4.663134133398969,2,0.8149973430967209,68.94489984300037,6.058493185552349,0.4630659181130071,23,10,7,0.5423408682778559,84.72528082300295,6.471306967487959,0.00031372672221934684,0.5614291722328522,4.818615839338889,1.2357837456236379e-07,COMPLETE
29,1209.75549281921,2025-04-12 20:25:01.387878,2025-04-13 00:40:13.622854,0 days 04:15:12.234976,7,0.7861682416902296,0.08831651881477984,7.118751035769721,2,0.6387965588919604,42.86834467560792,3.3604424093201826,0.196536258429775,18,9,3,0.6417636722881681,117.65988254295556,2.2703898624335253,2.0521938549507283e-05,0.42998245293685233,8.111556804050537,3.887262559574451e-06,COMPLETE
30,562.8815116324528,2025-04-12 20:25:01.401931,2025-04-13 00:47:16.239077,0 days 04:22:14.837146,3,0.8227405735674398,0.1620083399062898,2.113747419201565,4,0.8409009793894525,60.09159929866748,3.3604424093201826,0.24396699043422512,28,12,7,0.5423408682778559,136.37869757429138,4.204821010014943,0.00043272927306088485,0.5140637646050208,6.746604932586802,1.165613837525591e-06,COMPLETE
31,871.6008035470862,2025-04-12 20:25:01.416346,2025-04-13 00:51:08.472863,0 days 04:26:07.056517,6,0.7496334108689462,0.09451012977166333,3.264908711646625,6,0.7380118039045398,66.80761719738992,7.793888894030766,0.27597557890710783,25,9,4,0.6018009074508623,95.57442459515188,7.8743772750640675,7.353538478877737e-05,0.571152782619249,6.172353282866873,3.154651390428568e-07,COMPLETE
32,685.4143856215499,2025-04-12 20:25:01.430785,2025-04-13 00:55:00.518238,0 days 04:29:59.087453,6,0.8075348486931854,0.0702845425996876,4.881020265887724,6,0.7380118039045398,80.06606398943028,5.030170475882274,0.31102933499147056,20,9,4,0.5921601406242664,117.65988254295556,6.67060478028649,0.0003127867482184976,0.6174790623811408,5.639910663728785,1.8575837327014024e-07,COMPLETE
33,633.4683278210191,2025-04-12 20:25:01.445363,2025-04-13 00:59:14.198404,0 days 04:34:12.753041,5,0.7104844300711214,0.10621207029290049,3.8167010724785415,2,0.7380118039045398,61.57980893132814,3.3604424093201826,0.24618759190583517,29,7,5,0.6411780075551866,68.53617666932367,9.033386996012633,0.0001525342151796965,0.49704236299132937,6.4646584662990305,4.696092625742332e-07,COMPLETE
34,881.3639487911016,2025-04-12 20:25:01.460548,2025-04-13 01:03:06.628184,0 days 04:38:05.167636,6,0.6801070024372295,0.05170650813531409,2.5342493829209323,3,0.6176573688008686,72.33117864015227,4.508312270918529,0.19700201643145293,26,12,4,0.5357346083222562,146.55691049357353,7.8743772750640675,7.353538478877737e-05,0.6074210883681297,8.786235180507717,1.2479648873912646e-06,COMPLETE
